購買ID,ユーザーID,商品ID,金額,年齢,地域,性別,月
S001,U009,P010,,43.0,,女性,8月
S002,U008,P008,,,関西,女性,4月
S003,U042,P007,1144.0,38.0,関東,男性,1月
S004,U032,P001,1235.0,55.0,関西,女性,11月
S005,U039,P001,1235.0,36.0,関西,女性,1月
S006,U047,P004,8813.0,38.0,九州,男性,12月
S007,U021,P001,1235.0,29.0,北海道,男性,11月
S008,U042,P009,8751.0,60.0,北海道,女性,12月
S009,U044,P004,8813.0,46.0,関西,男性,4月
S010,U034,P004,8813.0,47.0,関西,,10月
S011,U036,P004,8813.0,32.0,中部,男性,2月
S012,U044,P004,,,関西,女性,3月
S013,U002,P007,1144.0,,九州,男性,11月
S014,U012,P005,3895.0,41.0,北海道,女性,10月
S015,U047,P009,8751.0,41.0,関西,男性,4月
S016,U020,P005,3895.0,59.0,九州,女性,3月
S017,U033,P007,1144.0,67.0,九州,男性,10月
S018,U031,P004,8813.0,48.0,関西,女性,2月
S019,U043,P003,,,中部,女性,11月
S020,U006,P008,5225.0,40.0,九州,男性,11月
S021,U050,P003,1905.0,31.0,九州,女性,6月
S022,U024,P008,5225.0,59.0,北海道,女性,11月
S023,U003,P005,3895.0,27.0,九州,女性,7月
S024,U042,P003,1905.0,25.0,関東,男性,11月
S025,U001,P004,8813.0,40.0,九州,男性,9月
S026,U026,P009,8751.0,19.0,中部,女性,4月
S027,U030,P005,,18.0,九州,男性,1月
S028,U025,P009,8751.0,35.0,関東,男性,7月
S029,U028,P001,,26.0,関西,女性,7月
S030,U037,P009,8751.0,42.0,関東,女性,12月
S031,U032,P006,6056.0,31.0,関西,女性,5月
S032,U001,P009,8751.0,69.0,,女性,1月
S033,U030,P010,4462.0,65.0,北海道,男性,2月
S034,U041,P003,1905.0,60.0,九州,男性,9月
S035,U006,P009,,26.0,,男性,7月
S036,U044,P002,6192.0,48.0,北海道,男性,11月
S037,U029,P001,1235.0,,中部,男性,9月
S038,U018,P002,6192.0,,九州,男性,10月
S039,U023,P005,,24.0,北海道,男性,7月
S040,U011,P005,3895.0,39.0,九州,,1月
S041,U043,P005,3895.0,67.0,,女性,3月
S042,U045,P006,6056.0,21.0,関西,女性,7月
S043,U008,P001,1235.0,22.0,中部,女性,10月
S044,U022,P007,1144.0,42.0,関東,女性,6月
S045,U007,P005,,67.0,九州,男性,1月
S046,U039,P007,1144.0,61.0,北海道,男性,7月
S047,U002,P007,1144.0,30.0,関東,男性,7月
S048,U047,P003,1905.0,44.0,,,4月
S049,U035,P004,8813.0,34.0,九州,女性,1月
S050,U015,P009,8751.0,63.0,北海道,女性,7月
S051,U044,P010,4462.0,69.0,中部,女性,12月
S052,U004,P005,3895.0,59.0,関東,,10月
S053,U004,P005,3895.0,36.0,北海道,男性,12月
S054,U020,P005,3895.0,33.0,関東,女性,9月
S055,U037,P005,3895.0,18.0,関東,男性,1月
S056,U036,P001,1235.0,22.0,九州,男性,5月
S057,U037,P008,5225.0,43.0,関東,男性,10月
S058,U025,P004,8813.0,65.0,中部,男性,9月
S059,U014,P010,4462.0,52.0,関西,男性,5月
S060,U032,P002,6192.0,41.0,関西,女性,6月
S061,U033,P008,5225.0,25.0,,女性,9月
S062,U040,P007,1144.0,44.0,中部,男性,9月
S063,U011,P004,8813.0,43.0,中部,男性,6月
S064,U022,P007,1144.0,58.0,関東,女性,2月
S065,U044,P002,6192.0,40.0,関西,女性,7月
S066,U044,P009,8751.0,27.0,関西,男性,11月
S067,U005,P001,1235.0,21.0,,男性,9月
S068,U011,P003,1905.0,57.0,九州,男性,9月
S069,U018,P006,6056.0,41.0,九州,女性,7月
S070,U024,P006,6056.0,54.0,中部,男性,5月
S071,U019,P004,8813.0,45.0,九州,女性,1月
S072,U009,P010,4462.0,55.0,九州,男性,2月
S073,U021,P001,1235.0,37.0,関西,男性,11月
S074,U025,P003,1905.0,56.0,関東,女性,7月
S075,U008,P010,4462.0,26.0,,女性,1月
S076,U005,P010,4462.0,50.0,九州,男性,12月
S077,U037,P002,6192.0,52.0,中部,女性,3月
S078,U019,P010,4462.0,28.0,九州,男性,2月
S079,U030,P005,3895.0,41.0,北海道,男性,2月
S080,U019,P001,1235.0,33.0,,,9月
S081,U006,P007,1144.0,,北海道,,11月
S082,U013,P004,8813.0,41.0,九州,,12月
S083,U011,P002,6192.0,43.0,関西,男性,9月
S084,U044,P004,8813.0,25.0,関東,男性,9月
S085,U028,P007,1144.0,69.0,九州,女性,2月
S086,U036,P005,3895.0,,関西,女性,5月
S087,U007,P004,8813.0,28.0,中部,男性,1月
S088,U002,P001,1235.0,64.0,中部,女性,7月
S089,U029,P007,1144.0,50.0,中部,女性,10月
S090,U005,P002,,42.0,中部,,4月
S091,U008,P005,3895.0,,関東,女性,8月
S092,U043,P006,6056.0,19.0,中部,男性,10月
S093,U035,P004,8813.0,67.0,中部,,4月
S094,U016,P006,6056.0,31.0,北海道,女性,10月
S095,U006,P008,5225.0,21.0,北海道,女性,12月
S096,U015,P007,1144.0,18.0,中部,男性,2月
S097,U021,P003,1905.0,31.0,中部,女性,6月
S098,U016,P006,6056.0,,北海道,,6月
S099,U016,P004,8813.0,39.0,北海道,男性,7月
S100,U026,P002,6192.0,24.0,,男性,10月
