購買ID,ユーザーID,商品ID,金額,年齢,地域,性別,月
10月,U009,P010,8235,69,海外,女性,12月
12月,U008,P008,2744,61,関西,女性,10月
7月,U042,P007,1106,22,関東,男性,12月
9月,U032,P001,6221,43,関西,女性,7月
3月,U039,P001,2237,30,関西,女性,9月
4月,U047,P004,5106,68,九州,男性,3月
1月,U021,P001,5703,26,北海道,男性,4月
7月,U042,P009,3234,32,北海道,女性,1月
11月,U044,P004,7893,25,関西,男性,7月
10月,U034,P004,8331,60,関西,,11月
1月,U036,P004,5110,43,中部,男性,10月
6月,U044,P004,4690,32,関西,女性,1月
11月,U002,P007,1645,51,九州,男性,6月
9月,U012,P005,2933,41,北海道,女性,11月
8月,U047,P009,5826,24,関西,男性,9月
3月,U020,P005,4858,46,海外,女性,8月
5月,U033,P007,7633,32,九州,男性,3月
2月,U031,P004,6777,61,関西,女性,5月
1月,U043,P003,7622,31,中部,女性,2月
6月,U006,P008,6247,51,九州,男性,1月
12月,U050,P003,6524,54,九州,女性,6月
11月,U024,P008,1045,44,北海道,女性,12月
9月,U003,P005,4641,51,九州,女性,11月
6月,U042,P003,4954,29,関東,男性,9月
2月,U001,P004,8397,39,九州,男性,6月
8月,U026,P009,6698,27,中部,女性,2月
4月,U030,P005,5488,43,海外,男性,8月
7月,U025,P009,8190,40,関東,男性,4月
7月,U028,P001,5068,49,関西,女性,7月
9月,U037,P009,8954,56,関東,女性,7月
10月,U032,P006,8173,60,関西,女性,9月
5月,U001,P009,1806,30,海外,女性,10月
8月,U030,P010,7890,62,北海道,男性,5月
8月,U041,P003,7251,28,九州,男性,8月
12月,U006,P009,5324,69,海外,男性,8月
6月,U044,P002,1842,43,北海道,男性,12月
1月,U029,P001,1760,38,中部,男性,6月
8月,U018,P002,6417,26,九州,男性,1月
3月,U023,P005,3432,66,北海道,男性,8月
11月,U011,P005,2867,56,九州,,3月
5月,U043,P005,2004,36,海外,女性,11月
7月,U045,P006,7007,65,関西,女性,5月
4月,U008,P001,7898,40,中部,女性,7月
8月,U022,P007,2314,56,関東,女性,4月
6月,U007,P005,8917,36,九州,男性,8月
12月,U039,P007,2065,59,北海道,男性,6月
10月,U002,P007,8670,42,関東,男性,12月
9月,U047,P003,3851,48,海外,,10月
11月,U035,P004,8987,66,九州,女性,9月
2月,U015,P009,6519,49,北海道,女性,11月
8月,U044,P010,4650,29,中部,女性,2月
9月,U004,P005,4734,29,関東,,8月
8月,U004,P005,1946,31,北海道,男性,9月
2月,U020,P005,2335,35,関東,女性,8月
11月,U037,P005,5777,29,関東,男性,2月
2月,U036,P001,4128,34,九州,男性,11月
8月,U037,P008,3717,47,関東,男性,2月
7月,U025,P004,5488,43,中部,男性,8月
6月,U014,P010,2878,40,関西,男性,7月
1月,U032,P002,6904,25,関西,女性,6月
8月,U033,P008,7184,58,海外,女性,1月
3月,U040,P007,6113,35,中部,男性,8月
10月,U011,P004,2984,31,中部,男性,3月
1月,U022,P007,3152,43,関東,女性,10月
4月,U044,P002,1929,27,関西,女性,1月
12月,U044,P009,5671,23,関西,男性,4月
7月,U005,P001,7473,28,海外,男性,12月
11月,U011,P003,6730,56,九州,男性,7月
2月,U018,P006,7328,61,九州,女性,11月
7月,U024,P006,3789,30,中部,男性,2月
9月,U019,P004,5960,30,九州,女性,7月
5月,U009,P010,7939,53,九州,男性,9月
1月,U021,P001,2042,22,関西,男性,5月
9月,U025,P003,4768,24,関東,女性,1月
1月,U008,P010,6926,41,海外,女性,9月
9月,U005,P010,6602,33,九州,男性,1月
11月,U037,P002,1267,44,中部,女性,9月
10月,U019,P010,1023,50,九州,男性,11月
7月,U030,P005,2907,27,北海道,男性,10月
12月,U019,P001,6802,63,海外,,7月
9月,U006,P007,3178,51,北海道,,12月
3月,U013,P004,4103,60,九州,,9月
1月,U011,P002,2002,59,関西,男性,3月
8月,U044,P004,6243,66,関東,男性,1月
6月,U028,P007,5106,48,九州,女性,8月
6月,U036,P005,7622,58,関西,女性,6月
3月,U007,P004,4819,52,中部,男性,6月
9月,U002,P001,2021,25,中部,女性,3月
4月,U029,P007,7412,42,中部,女性,9月
8月,U005,P002,2198,43,中部,,4月
9月,U008,P005,1419,24,関東,女性,8月
6月,U043,P006,7712,25,中部,男性,9月
3月,U035,P004,3050,30,中部,,6月
1月,U016,P006,7927,58,北海道,女性,3月
6月,U006,P008,3046,48,北海道,女性,1月
12月,U015,P007,5497,65,中部,男性,6月
5月,U021,P003,4786,59,中部,女性,12月
10月,U016,P006,6697,50,北海道,,5月
8月,U016,P004,3762,32,北海道,男性,10月
S100,U026,P002,6165,52,海外,男性,8月
