従業員ID,部門,週当たり削減時間,満足度,月
4001,営業,4.7,5.0,1月
4002,営業,2.0,4.0,1月
4003,営業,7.2,3.0,1月
4004,営業,2.5,4.0,1月
4005,営業,4.2,5.0,1月
4006,開発,3.1,3.0,1月
4007,開発,0.7,2.0,1月
4008,開発,7.5,4.0,1月
4009,開発,8.3,2.0,1月
4010,開発,2.1,4.0,1月
4011,人事,7.7,4.0,1月
4012,人事,1.2,2.0,1月
4013,人事,3.3,3.0,1月
4014,人事,7.9,3.0,1月
4015,人事,4.1,5.0,1月
4016,営業,9.1,4.0,2月
4017,営業,2.0,2.0,2月
4018,営業,0.2,,2月
4019,営業,5.1,5.0,2月
4020,営業,7.1,5.0,2月
4021,開発,3.3,5.0,2月
4022,開発,2.3,4.0,2月
4023,開発,1.4,3.0,2月
4024,開発,6.0,2.0,2月
4025,開発,3.9,3.0,2月
4026,人事,9.4,4.0,2月
4027,人事,1.7,2.0,2月
4028,人事,9.2,5.0,2月
4029,人事,0.7,2.0,2月
4030,人事,9.0,4.0,2月
4031,営業,2.4,2.0,3月
4032,営業,2.0,3.0,3月
4033,営業,7.0,5.0,3月
4034,営業,4.8,4.0,3月
4035,営業,9.7,2.0,3月
4036,開発,0.7,3.0,3月
4037,開発,1.4,3.0,3月
4038,開発,1.0,2.0,3月
4039,開発,7.8,2.0,3月
4040,開発,8.5,3.0,3月
4041,人事,7.5,1.0,3月
4042,人事,9.0,5.0,3月
4043,人事,9.4,1.0,3月
4044,人事,2.3,5.0,3月
4045,人事,9.5,2.0,3月
4046,営業,6.1,1.0,4月
4047,営業,1.7,4.0,4月
4048,営業,8.0,2.0,4月
4049,営業,0.9,5.0,4月
4050,営業,8.1,5.0,4月
4051,開発,8.1,5.0,4月
4052,開発,0.3,1.0,4月
4053,開発,1.8,3.0,4月
4054,開発,1.2,1.0,4月
4055,開発,0.6,5.0,4月
4056,人事,6.2,2.0,4月
4057,人事,2.1,2.0,4月
4058,人事,1.9,3.0,4月
4059,人事,7.3,4.0,4月
4060,人事,7.2,2.0,4月
4061,営業,5.9,4.0,5月
4062,営業,4.2,2.0,5月
4063,営業,1.6,4.0,5月
4064,営業,7.5,3.0,5月
4065,営業,6.9,1.0,5月
4066,開発,6.7,2.0,5月
4067,開発,5.1,1.0,5月
4068,開発,6.1,5.0,5月
4069,開発,5.5,1.0,5月
4070,開発,3.3,5.0,5月
4071,人事,5.5,3.0,5月
4072,人事,,2.0,5月
4073,人事,9.7,4.0,5月
4074,人事,9.6,2.0,5月
4075,人事,0.3,3.0,5月
4076,営業,9.5,3.0,6月
4077,営業,1.6,4.0,6月
4078,営業,9.4,5.0,6月
4079,営業,1.6,1.0,6月
4080,営業,3.6,2.0,6月
4081,開発,7.1,1.0,6月
4082,開発,4.4,1.0,6月
4083,開発,9.1,3.0,6月
4084,開発,1.2,,6月
4085,開発,5.7,2.0,6月
4086,人事,5.8,4.0,6月
4087,人事,9.4,3.0,6月
4088,人事,5.6,2.0,6月
4089,人事,5.1,2.0,6月
4090,人事,5.4,4.0,6月
4091,営業,5.7,2.0,7月
4092,営業,6.4,2.0,7月
4093,営業,9.2,,7月
4094,営業,2.8,3.0,7月
4095,営業,6.4,4.0,7月
4096,開発,7.6,3.0,7月
4097,開発,5.2,2.0,7月
4098,開発,7.8,3.0,7月
4099,開発,4.2,4.0,7月
4100,開発,,2.0,7月
4101,人事,6.5,1.0,7月
4102,人事,3.8,2.0,7月
4103,人事,4.1,2.0,7月
4104,人事,3.2,5.0,7月
4105,人事,9.4,1.0,7月
4106,営業,2.2,5.0,8月
4107,営業,3.0,5.0,8月
4108,営業,,2.0,8月
4109,営業,8.1,1.0,8月
4110,営業,6.4,1.0,8月
4111,開発,7.2,2.0,8月
4112,開発,4.2,3.0,8月
4113,開発,10.0,1.0,8月
4114,開発,5.8,1.0,8月
4115,開発,6.4,3.0,8月
4116,人事,8.5,2.0,8月
4117,人事,8.0,2.0,8月
4118,人事,7.1,3.0,8月
4119,人事,4.6,1.0,8月
4120,人事,2.7,4.0,8月
4121,営業,9.8,1.0,9月
4122,営業,7.6,2.0,9月
4123,営業,3.0,2.0,9月
4124,営業,6.9,,9月
4125,営業,1.1,2.0,9月
4126,開発,,3.0,9月
4127,開発,8.2,2.0,9月
4128,開発,6.0,4.0,9月
4129,開発,5.7,2.0,9月
